STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
13661,35007656,7.8,,6.0,6.0,,,,,,
13662,35007657,,9.0,,,,9.0,9.5,,,
13663,35007658,,7.0,,,,7.25,7.0,8.25,,
13664,35007659,,8.5,,,,8.75,8.75,,,
13665,35007660,8.0,,7.0,6.5,,,,,,
13666,35007661,,6.25,,,,6.25,6.5,,,
13667,35007662,6.4,4.25,,,,4.75,7.5,8.5,6.6,N1
13668,35007663,,7.75,,,,9.5,9.0,,,
13669,35007664,,3.5,,,,7.0,7.75,7.5,,
13670,35007665,7.2,,,3.5,5.0,,,,,
13671,35007666,7.8,5.75,,,,8.5,5.25,8.25,,
13672,35007667,,3.0,,,,6.5,6.0,5.75,,
13673,35007669,,6.25,,,,8.5,8.5,,,
13674,35007670,,5.0,,,,5.5,6.75,,,
13675,35007671,,9.0,,,,,,,7.2,N1
13676,35007672,,8.75,,,,8.75,9.0,,,
13677,35007673,6.2,7.5,4.0,,4.75,,,,5.2,N1
13678,35007674,,7.5,,,,9.0,9.75,8.0,,
13679,35007675,8.0,6.75,,,,8.75,8.75,7.0,8.0,N1
13680,35007676,,5.0,,,,4.25,8.0,7.5,,
13681,35007677,,7.25,,,,5.5,8.25,,,
13682,35007679,,8.75,,,,9.0,9.5,8.75,,
13683,35007680,8.6,,7.25,8.25,,,,,,
13684,35007681,6.8,8.0,3.25,3.5,6.0,,,,6.8,N1
13685,35007682,8.0,,,7.5,8.5,,,,,
13686,35007683,,8.5,,,,9.5,9.5,,,
13687,35007684,7.8,,7.75,7.5,,,,,,
13688,35007685,,8.25,,,,9.5,9.25,,,
13689,35007686,,9.0,,,,9.5,10.0,,,
13690,35007687,1.6,5.5,,,,,,,,
13691,35007688,,5.5,,,,5.5,8.0,8.5,,
13692,35007689,,6.25,,,,7.0,8.5,,,
13693,35007690,2.2,5.0,,,,3.5,6.75,7.0,,
13694,35007691,,8.75,,,,8.0,9.25,,,
13695,35007692,,6.75,,,,2.5,9.75,7.0,,
13696,35007694,8.6,,8.0,8.75,6.75,,,,,
13697,35007695,7.6,6.0,,6.5,,,,,,
13698,35007696,,7.0,,,,6.0,6.5,,,
13699,35007698,,7.5,,,,5.5,6.25,,,
13700,35007700,5.2,3.75,2.5,4.75,3.75,,,,,
13701,35007702,,5.75,,,,3.5,6.5,,,
13702,35007703,7.8,,8.25,7.5,,,,,,
13703,35007704,,7.0,,,,9.25,8.75,,,
13704,35007705,8.8,,9.0,9.75,7.75,,,,,
13705,35007706,3.4,7.6,,,,,,,6.2,N1
13706,35007707,8.4,9.25,,,,,,,9.4,N1
13707,35007708,,9.0,,,,,,,,
13708,35007709,8.2,,8.75,,,,,,8.0,N1
13709,35007710,7.4,8.75,,,,,,,6.6,N1
13710,35007711,3.8,5.5,,,,3.25,8.0,,,
13711,35007712,,5.5,,,,4.5,5.75,7.5,,
13712,35007713,,7.25,,,,4.25,7.0,,,
13713,35007714,,8.0,,,,4.25,6.0,,,
13714,35007715,2.6,5.0,,,,5.25,7.0,9.0,,
13715,35007716,2.8,3.5,,,,2.25,4.5,4.75,3.4,N1
13716,35007717,,6.0,,,,4.75,7.75,7.0,,
13717,35007718,6.8,5.75,,,,3.75,6.25,7.0,4.2,N1
13718,35007719,,6.0,,,,4.0,7.5,8.0,,
13719,35007720,3.2,6.0,,,,4.25,8.0,9.25,3.0,N1
13720,35007721,2.4,3.25,,,,3.75,3.75,4.0,6.4,N1
13721,35007722,4.2,,3.5,3.5,,,,,,
13722,35007723,8.0,,9.5,8.25,,,,,,
13723,35007725,,7.0,,,,5.75,7.5,8.75,,
13724,35007726,,5.0,,,,5.25,7.25,,,
13725,35007727,8.0,,7.0,6.5,6.75,,,,,
13726,35007728,7.6,7.5,,,,8.75,,,,
13727,35007729,7.6,,7.0,6.75,,,,,,
13728,35007730,,9.0,,,,9.25,9.5,,,
13729,35007731,,6.25,,,,8.5,9.0,5.0,,
13730,35007733,,4.0,,,,5.0,6.75,6.75,,
13731,35007734,,9.25,,,,8.5,9.25,8.5,5.6,N1
13732,35007736,,5.5,,,,4.75,4.75,7.5,,
13733,35007737,,8.0,,,,8.0,8.5,8.0,,
13734,35007738,,8.0,,,,6.75,7.25,,,
13735,35007739,,9.0,,,,,8.25,,5.6,N4
13736,35007740,7.4,,5.0,5.75,,,,,,
13737,35007741,,5.75,,,,6.0,7.75,,,
13738,35007742,,7.25,,,,6.0,7.5,,,
13739,35007743,,7.25,,,,5.25,6.25,,,
13740,35007744,6.4,6.75,,,,8.5,,,,
13741,35007745,,6.5,,,,9.0,9.25,,,
13742,35007746,4.2,3.25,,,,4.0,7.0,7.25,5.6,N1
13743,35007747,8.4,7.0,,,,8.5,,,,
13744,35007748,2.0,6.0,,,,,3.5,4.5,,
13745,35007749,6.2,9.25,,,,,,8.25,4.6,N1
13746,35007750,,5.75,,,,8.5,8.5,7.25,,
13747,35007751,,7.25,,,,5.0,6.0,,,
13748,35007752,,6.25,,,,3.0,6.0,8.5,,
13749,35007753,,5.0,,,,6.5,6.0,,,
13750,35007754,7.8,,7.25,6.5,,,,,,
13751,35007755,7.4,8.5,,,,9.5,9.5,9.0,,
13752,35007756,,6.75,,,,6.75,8.25,,,
13753,35007757,,7.0,,,,8.25,7.0,,,
13754,35007759,8.8,9.25,,9.0,,,,,7.2,N1
13755,35007760,,5.75,,,,5.75,7.5,,,
13756,35007761,7.6,8.25,,,,,,,6.6,N1
13757,35007762,5.0,7.5,,,,7.75,8.25,,,
13758,35007763,,6.0,,,,3.75,6.75,,,
13759,35007764,,9.0,,,,9.0,8.5,,,
13760,35007765,,7.25,,,,8.75,7.25,8.5,,
13761,35007766,8.2,,7.75,7.75,,,,,,
13762,35007767,8.2,7.5,,,,,,,,
13763,35007768,7.0,8.5,,,,,,,4.6,N1
13764,35007769,,9.25,,,,8.75,8.25,8.5,,
13765,35007770,,5.75,,,,4.25,5.0,6.75,,
13766,35007771,,8.25,,,,7.25,8.5,,,
13767,35007773,3.2,6.0,,,,1.75,3.0,,,
13768,35007774,8.2,,7.75,6.0,,,,,,
13769,35007776,,8.0,,,,4.0,6.25,6.25,,
13770,35007777,7.2,9.0,5.5,4.75,4.5,,,,7.6,N1
13771,35007778,8.8,7.75,,,,,,,7.0,N1
13772,35007779,,5.75,,,,6.0,8.0,7.0,,
13773,35007780,7.4,,5.0,4.75,,,,,,
13774,35007781,,8.75,,,,9.5,9.75,,,
13775,35007783,,6.5,,,,,6.25,,3.6,N4
13776,35007784,2.8,5.0,,,,5.0,6.0,,,
13777,35007785,7.2,,7.75,8.0,,,,,,
13778,35007786,,4.5,,,,2.5,5.5,5.75,,
13779,35007787,7.4,,7.0,,,,,,6.0,N1
13780,35007789,,4.5,,,,5.25,6.5,,,
13781,35007790,,7.25,,,,8.5,7.0,,,
13782,35007791,,1.25,,,,5.5,7.75,8.25,,
13783,35007793,,5.0,,,,7.5,6.25,,,
13784,35007794,7.8,,6.25,7.25,,,,,,
13785,35007795,5.0,4.0,,,,8.5,6.25,,,
13786,35007796,,6.5,,,,,,,,
13787,35007797,,8.5,,,,9.25,9.5,,,
13788,35007798,,7.0,,,,9.0,8.25,,,
13789,35007799,,6.0,,,,5.25,8.0,,,
13790,35007800,,5.0,,,,6.5,8.5,,,
13791,35007802,5.0,6.75,,,,7.5,5.0,,,
13792,35007803,8.8,,9.0,8.5,,,,,,
13793,35007804,,6.25,,,,7.5,9.0,,,
13794,35007805,,7.0,,,,9.0,8.75,,,
13795,35007806,7.6,9.25,,,,,,,5.4,N1
13796,35007807,8.0,9.5,,,,8.25,7.75,8.5,4.6,N1
13797,35007808,,5.0,,,,8.25,7.5,,,
13798,35007809,,6.0,,,,6.5,6.75,,,
13799,35007811,,7.5,,,,6.0,8.0,,,
13800,35007812,4.0,4.25,,,,4.5,4.5,5.75,5.4,N1
13801,35007813,,9.25,,,,8.75,9.5,,,
13802,35007814,5.0,7.25,4.0,,,,,,6.4,N1
13803,35007815,6.0,8.25,,,,6.5,7.5,9.25,6.0,N1
13804,35007816,,5.0,,,,5.25,6.75,7.5,,
13805,35007817,2.2,4.0,,,,3.0,4.5,7.0,3.2,N1
13806,35007818,3.0,6.75,,,,3.75,4.5,3.5,,
13807,35007819,,5.0,,,,7.25,7.0,,,
13808,35007820,,5.0,,,,6.5,9.0,8.25,,
13809,35007821,,7.5,,,,8.25,8.0,,,
13810,35007822,,8.5,,,,6.0,8.25,,,
13811,35007823,3.2,5.75,,,,5.25,5.25,5.75,3.0,N1
13812,35007824,5.0,8.75,,,,,,,4.8,N1
13813,35007825,,9.25,,,,4.75,7.5,,,
13814,35007826,,8.75,,,,8.25,9.75,,,
13815,35007828,,3.25,,,,4.5,4.5,,,
13816,35007829,8.0,7.0,,,,9.5,9.0,9.0,,
13817,35007830,,3.0,,,,6.0,6.0,,,
13818,35007831,2.0,5.25,,,,4.5,6.75,7.0,3.4,N1
13819,35007832,7.6,,5.75,4.75,,,,,,
13820,35007833,,6.5,,,,7.75,8.25,,,
13821,35007834,6.4,7.0,,,,8.25,,,,
13822,35007836,4.0,7.5,,,,,,,2.2,N1
13823,35007837,,6.0,,,,7.25,6.75,,,
13824,35007838,4.6,7.25,,,,5.25,7.0,,,
13825,35007839,4.2,1.5,,,,6.5,6.5,7.25,2.2,N1
13826,35007840,,6.5,,,,6.0,7.0,,,
13827,35007841,,5.5,,,,5.25,7.0,,,
13828,35007842,,7.75,,,,5.0,7.75,,,
13829,35007843,,5.5,,,,5.5,5.25,,,
13830,35007844,,6.5,,,,6.75,,,,
13831,35007845,,5.0,,,,5.75,6.5,,,
13832,35007846,2.2,3.0,,,,3.5,4.75,,,
13833,35007847,,8.5,,,,8.25,9.25,9.75,,
13834,35007848,,6.5,,,,8.0,9.25,,,
13835,35007849,3.8,5.25,,,,8.0,6.75,,,
13836,35007850,,8.0,,,,9.25,8.5,9.5,,
13837,35007851,,8.75,,,,8.0,8.75,,,
13838,35007853,,5.75,,,,6.75,6.75,6.75,,
13839,35007854,8.8,,8.5,3.0,2.25,,,,7.8,N1
13840,35007856,,8.5,,,,9.75,9.75,,,
13841,35007857,7.4,4.1,,,,7.25,4.5,,,
13842,35007858,5.2,5.0,,,,,,,2.4,N1
13843,35007859,,6.5,,,,7.0,6.5,,,
13844,35007860,5.2,8.25,,,,9.5,9.25,,,
13845,35007861,3.2,,3.25,3.75,,,,,,
13846,35007862,,7.75,,,,6.5,7.5,,,
13847,35007863,,9.25,,,,9.75,10.0,,,
13848,35007864,,9.25,,,,9.0,8.5,7.75,,
13849,35007865,,7.5,,,,7.0,8.0,,,
13850,35007866,,6.75,,,,5.75,7.5,,,
13851,35007867,4.0,6.5,,,,8.25,9.75,,,
13852,35007868,,2.0,,,,3.0,4.0,6.0,,
13853,35007869,,6.0,,,,8.5,9.25,,,
13854,35007870,,7.25,,,,7.25,9.25,,,
13855,35007871,2.2,5.25,,,,,,,,
13856,35007872,7.4,,6.5,7.0,1.25,,,,2.0,N1
13857,35007873,,5.0,,,,7.75,8.75,,,
13858,35007874,,6.5,,,,6.25,8.0,8.25,,
13859,35007875,,5.0,,,,3.5,7.0,5.75,,
13860,35007877,6.4,9.25,,,,9.0,,,6.6,N1
13861,35007878,,6.5,,,,6.0,6.0,7.75,,
13862,35007879,8.2,,,7.75,8.5,,,,,
13863,35007880,3.2,8.0,,,,9.75,8.5,,,
13864,35007881,,8.0,,,,8.25,8.5,,,
13865,35007882,,4.5,,,,5.0,6.25,6.0,,
13866,35007884,8.2,8.75,,,,,,,8.4,N1
13867,35007885,,7.5,,,,7.25,8.5,,,
13868,35007886,,8.75,,,,9.75,9.25,9.25,,
13869,35007888,4.0,6.5,,,,7.75,8.0,,,
13870,35007889,7.6,,8.0,7.75,,,,,,
13871,35007890,7.2,,7.25,6.0,,,,,,
13872,35007891,,7.0,,,,4.0,6.25,7.75,7.0,N1
13873,35007892,7.8,8.5,7.75,7.75,,,,,,
13874,35007893,,5.5,,,,7.25,9.25,,,
13875,35007894,,3.25,,,,6.0,6.5,,,
13876,35007895,8.4,,8.75,7.75,,,,,,
13877,35007896,8.0,,7.0,7.75,,,,,,
13878,35007897,,8.5,,,,9.5,9.75,,,
13879,35007898,6.0,7.0,,,,8.75,7.5,,,
13880,35007899,7.6,8.75,,,,,,,,
13881,35007900,,6.25,,,,3.0,4.75,,,
13882,35007901,8.4,,7.5,8.5,,,,,,
13883,35007902,7.4,,7.75,7.75,,,,,,
13884,35007903,,8.0,,,,9.25,9.25,,,
13885,35007904,,3.0,,,,3.25,4.75,5.5,,
13886,35007905,1.8,3.75,,,,4.0,4.75,,,
13887,35007906,5.0,5.75,,,,3.5,7.0,,,
13888,35007907,,8.0,,,,6.25,7.5,,,
13889,35007909,6.0,5.5,,,,5.75,6.0,,,
13890,35007910,5.6,3.0,,,,5.5,6.0,,,
13891,35007911,6.4,8.5,,,,,,,7.0,N1
13892,35007912,,7.0,,,,5.75,9.0,,,
13893,35007913,,3.5,,,,6.0,6.0,3.5,,
13894,35007914,,6.75,,,,7.25,8.25,8.25,,
13895,35007915,2.8,4.0,,,,3.0,4.25,,,
13896,35007916,3.8,3.5,,,,6.25,5.75,7.25,6.2,N1
13897,35007917,,6.75,,,,7.5,7.0,,,
13898,35007918,5.0,7.0,,,,7.25,7.75,9.0,,
13899,35007919,,8.25,,,,7.25,8.75,,,
13900,35007920,,6.75,,,,7.75,8.5,,,
13901,35007921,,8.0,,,,7.75,8.0,,,
13902,35007922,8.4,,7.75,7.25,,,,,,
13903,35007923,2.0,6.5,,,,4.75,5.25,,,
13904,35007925,,9.25,,,,9.75,9.75,,,
13905,35007926,,6.5,,,,9.75,9.75,,,
13906,35007927,,4.0,,,,4.25,4.25,,,
13907,35007928,1.8,1.5,,,,5.25,4.25,,,
13908,35007929,6.0,6.5,,,,,,,9.6,N1
13909,35007930,,6.0,,,,8.5,8.0,,,
13910,35007931,2.2,4.0,,,,3.5,3.25,,,
13911,35007932,,8.25,,,,8.5,8.75,,,
13912,35007933,,5.5,,,,4.75,4.5,,,
13913,35007934,8.4,,4.5,7.25,,,,,,
13914,35007935,9.2,,,8.75,8.25,,,,,
13915,35007936,,7.0,,,,9.75,8.0,,,
13916,35007937,,7.0,,,,6.75,7.75,,,
13917,35007938,,7.0,,,,3.0,3.0,,,
13918,35007939,,6.0,,,,5.5,7.25,,,
13919,35007940,,8.0,,,,8.25,8.25,9.0,,
13920,35007941,3.8,8.0,,,,,,,7.0,N1
13921,35007942,5.2,9.0,,,,9.25,8.5,4.25,5.0,N1
13922,36005138,,4.5,,,,7.25,8.25,,,
13923,36005139,2.8,1.75,,,,3.5,,,,
13924,36005140,,2.75,,,,6.0,7.25,,,
13925,36005141,7.6,,6.5,7.25,,,,,,
13926,36005142,,8.0,,,,9.75,8.25,,,
13927,36005143,6.6,,5.5,3.0,5.75,,,,,
13928,36005144,,2.25,,,,2.75,6.75,,,
13929,36005145,7.8,,6.25,,,,,,8.8,N1
13930,36005146,,6.0,,,,9.0,9.25,,,
13931,36005147,,7.25,,,,7.5,8.25,8.5,,
13932,36005148,,3.5,,,,6.0,6.25,,,
13933,36005149,7.0,,7.5,7.5,,,,,,
13934,36005150,4.4,6.25,,,,5.5,,,,
13935,36005151,3.8,4.25,,,,3.75,6.75,5.0,,
13936,36005152,6.8,7.75,,,,6.0,8.75,,,
13937,36005153,,6.25,,,,,,,,
13938,36005154,,5.25,,,,7.25,8.0,,,
13939,36005155,,7.5,,,,9.25,8.0,,,
13940,36005156,,7.5,,,,7.75,8.75,,,
13941,36005157,3.2,6.25,,,,,8.0,,,
13942,36005158,,7.25,,,,9.5,9.25,,,
13943,36005161,7.4,,4.5,6.25,,,,,,
13944,36005162,,8.0,,,,10.0,9.0,,,
13945,36005163,,4.0,,,,6.75,8.0,,,
13946,36005164,7.2,8.0,,,,,,,5.0,N1
13947,36005165,5.2,,,4.75,6.5,,,,,
13948,36005166,,3.5,,,,2.75,5.75,6.75,,
13949,36005168,,5.25,,,,5.5,6.75,,,
13950,36005169,,5.0,,,,4.5,6.75,,,
13951,36005171,,7.0,,,,9.0,8.25,8.5,,
13952,36005172,3.0,1.75,,,,3.5,5.75,,,
13953,36005173,7.8,,8.25,,,,,,5.6,N1
13954,36005174,,5.0,,,,6.5,8.0,7.0,,
13955,36005175,8.6,,8.75,8.0,,,,,,
13956,36005176,8.2,,8.5,8.75,,,,,,
13957,36005177,,7.0,,,,7.75,8.0,,,
13958,36005178,,5.75,,,,7.25,7.25,,,
13959,36005179,2.6,3.0,,,,3.5,4.75,,,
13960,36005180,,6.75,,,,5.5,7.75,,,
13961,36005181,,6.0,,,,4.25,5.5,,,
13962,36005183,6.6,,6.5,7.5,,,,,,
13963,36005184,7.4,8.25,6.5,,,,,,5.0,N1
13964,36005185,,4.75,,,,4.25,6.5,,,
13965,36005186,8.0,,8.75,8.75,,,,,,
13966,36005187,,4.25,,,,5.5,6.75,,,
13967,36005188,,7.75,,,,9.0,9.25,,,
13968,36005189,,5.25,,,,5.5,8.0,,,
13969,36005190,8.4,,,7.0,,,,,4.8,N1
13970,36005191,8.0,,7.0,,,,,,7.2,N1
13971,36005192,3.8,2.75,,,,4.75,,,,
13972,36005193,,4.75,,,,8.25,8.5,8.75,,
13973,36005194,,4.5,,,,6.5,7.25,,,
13974,36005195,,8.0,,,,9.75,9.5,,,
13975,36005197,,4.0,,,,4.75,5.75,,,
13976,36005198,4.2,5.5,,,,6.0,6.75,,,
13977,36005199,8.2,,8.25,6.0,,,,,,
13978,36005200,,8.0,,,,10.0,9.5,,,
13979,36005201,6.2,6.75,,,,7.75,9.5,,,
13980,36005202,,7.0,,,,9.5,10.0,,,
13981,36005203,,3.5,,,,4.5,7.25,,,
13982,36005205,,6.0,,,,8.5,8.25,,,
13983,36005206,,5.0,,,,7.5,7.75,8.5,,
13984,36005207,5.2,6.25,,,,6.75,8.0,8.75,,
13985,36005208,7.0,7.25,,,,,,,,
13986,36005209,7.2,6.0,,,,,,,,
13987,36005210,,3.75,,,,5.75,7.5,,,
13988,36005211,,6.25,,,,8.5,8.5,,,
13989,36005212,5.6,,3.5,5.5,,,,,,
13990,36005213,4.0,6.0,,,,6.75,7.0,,,
13991,36005214,6.6,,6.25,6.75,,,,,,
13992,36005215,5.0,4.5,,,,4.75,,,,
13993,36005216,,7.25,,,,6.5,8.0,,,
13994,36005217,2.4,4.0,,,,6.0,5.75,6.25,4.4,N1
13995,36005218,,4.25,,,,6.75,6.75,,,
13996,36005219,7.4,,6.25,,,,,,5.6,N1
13997,36005220,7.4,8.5,,,,7.75,8.0,,,
13998,36005222,,7.25,,,,8.75,7.75,,,
13999,36005223,8.6,,6.75,8.5,,,,,,
14000,36005224,,5.5,,,,7.75,7.0,,,
14001,36005225,,8.0,,,,8.5,9.5,,,
14002,36005226,6.8,7.75,,,,,7.5,,5.4,N1
14003,36005227,4.0,2.75,,,,3.5,5.0,,,
14004,36005228,,6.5,,,,5.25,7.25,,,
14005,36005229,,7.25,,,,8.0,9.25,,,
14006,36005230,6.2,7.25,,,,,8.75,,,
14007,36005231,,7.25,,,,8.5,9.0,,,
14008,36005232,7.2,,7.25,7.75,,,,,,
14009,36005233,1.4,4.0,,,,3.25,,,,
14010,36005234,2.2,3.25,,,,,6.0,,,
14011,36005235,5.0,5.75,,,,6.25,7.5,,,
14012,36005236,,6.75,,,,6.5,7.75,,,
14013,36005238,,6.5,,,,3.25,6.0,,,
14014,36005239,6.6,6.25,,,,6.5,,,,
14015,36005240,,7.5,,,,,,,,
14016,36005241,,6.25,,,,8.25,7.25,9.75,,
14017,36005242,7.4,,,8.25,8.0,,,,,
14018,36005243,7.6,6.5,,,,9.25,9.25,,,
14019,36005244,,6.0,,,,,,,,
14020,36005245,5.2,4.5,,,,5.0,,,,
14021,36005246,8.4,,7.75,7.5,,,,,,
14022,36005247,7.0,,7.0,7.75,,,,,,
14023,36005248,,3.0,,,,7.25,4.25,,,
14024,36005249,8.8,5.75,,7.75,7.25,,,,,
14025,36005250,,7.75,,,,8.5,9.0,,,
14026,36005251,2.4,2.25,,,,3.0,3.75,,,
14027,36005252,4.2,5.75,,,,6.25,6.25,8.0,,
14028,36005253,,5.5,,,,,,,,
14029,36005254,6.2,6.5,,,,,7.25,,,
14030,36005255,4.6,4.5,,,,4.0,5.5,6.0,3.8,N1
14031,36005256,5.4,5.25,,,,6.75,,8.5,,
14032,36005257,,4.25,,,,6.5,6.75,,,
14033,36005258,,4.5,,,,,,7.75,,
14034,36005259,,5.0,,,,8.5,7.5,,,
14035,36005260,,4.25,,,,3.75,7.5,,,
14036,36005261,,5.5,,,,5.25,6.25,6.75,,
14037,36005262,,5.75,,,,6.0,7.5,,,
14038,36005263,,8.0,,,,10.0,9.75,,,
14039,36005264,,7.25,,,,9.25,9.5,9.75,,
14040,36005265,,5.25,,,,6.5,8.0,8.0,,
14041,36005266,,8.25,,,,9.25,9.75,,,
14042,36005267,,7.75,,,,8.5,9.25,,,
14043,36005268,,4.75,,,,7.5,8.5,,,
14044,36005269,,6.25,,,,9.5,8.75,,,
14045,36005270,7.4,,,7.5,7.75,,,,,
14046,36005271,,6.5,,,,9.25,9.0,7.5,,
14047,36005272,,5.75,,,,4.25,,,,
14048,36005273,7.8,,,8.5,,,,,7.4,N1
14049,36005274,,8.75,,,,9.5,10.0,,,
14050,36005276,3.8,7.5,,,,8.5,7.25,,,
14051,36005277,,6.75,,,,4.5,5.5,,,
14052,36005278,2.4,3.0,,,,3.5,3.5,5.0,6.4,N1
14053,36005279,,7.0,,,,6.25,7.0,,,
14054,36005280,,7.0,,,,5.5,8.25,,,
14055,36005281,8.0,7.5,,,,,,,7.4,N1
14056,36005282,,5.5,,,,6.25,7.25,,,
14057,36005283,,6.75,,,,7.25,8.5,,,
14058,36005284,5.2,6.25,,,,,,,,
14059,36005285,4.2,7.5,,,,7.5,8.0,,,
14060,36005286,,5.75,,,,5.25,5.75,,,
14061,36005287,,6.0,,,,7.5,7.75,,,
14062,36005288,,5.75,,,,7.25,6.5,,,
14063,36005289,6.2,6.0,,,,7.0,7.75,,,
14064,36005290,,7.0,,,,8.0,8.5,,,
14065,36005292,6.4,,4.5,3.0,,,,,,
14066,36005293,,5.0,,,,5.25,5.5,9.0,,
14067,36005294,6.2,4.75,,,,6.75,7.75,7.25,,
14068,36005295,,6.75,,,,7.5,7.25,,,
14069,36005296,7.0,,3.25,,,,,,6.0,N1
14070,36005297,8.6,6.0,,,,,,,7.2,N1
14071,36005298,,5.25,,,,4.25,7.0,,,
14072,36005299,,5.75,,,,6.0,8.5,8.25,,
14073,36005301,6.4,6.75,,,,5.75,8.0,,,
14074,36005302,,4.75,,,,6.5,8.75,,,
14075,36005303,,5.25,,,,4.0,7.75,,,
14076,36005304,2.2,2.5,,,,2.0,5.5,,,
14077,36005305,,7.25,,,,9.25,9.25,,,
14078,36005306,,5.5,,,,,,,,
14079,36005307,2.8,2.5,,,,3.0,5.5,4.75,3.6,N1
14080,36005308,,7.75,,,,9.5,9.25,,,
14081,36005309,,7.75,,,,9.0,9.5,,,
14082,36005310,,6.0,,,,5.0,6.25,,,
14083,36005311,4.4,5.75,,,,2.25,6.0,3.0,4.2,N1
14084,36005312,4.0,,3.75,4.0,,,,,,
14085,36005313,9.0,7.25,8.5,2.75,4.75,,,,8.6,N1
14086,36005314,8.6,,7.25,7.5,,,,,5.2,N1
14087,36005315,,7.0,,,,4.0,7.0,,,
14088,36005316,8.4,,,7.5,,,,,7.8,N1
14089,36005317,,8.0,,,,,8.75,,6.4,N1
14090,36005318,7.4,7.25,,,,,,,6.8,N1
14091,36005319,8.4,,8.5,8.5,,,,,,
14092,36005320,,5.25,,,,7.5,8.5,8.0,,
14093,36005321,7.0,6.75,,,,7.5,7.75,,,
14094,36005322,,5.5,,,,4.75,7.25,8.0,,
14095,36005323,,7.25,,,,9.25,8.5,,,
14096,36005325,6.8,4.75,3.25,4.25,,,,,,
14097,36005326,8.0,6.75,,,,,,,,
14098,36005327,,6.0,,,,8.0,8.5,,,
14099,36005328,,6.25,,,,,,,,
14100,36005329,,7.25,,,,,,,,
14101,36005330,,6.5,,,,6.5,6.5,,,
14102,36005331,,4.0,,,,3.5,4.5,4.5,,
14103,36005333,,5.5,,,,8.25,8.5,,,
14104,36005334,6.0,6.5,,4.25,6.25,,,,,
14105,36005335,,7.5,,,,9.0,8.25,,,
14106,36005336,,5.25,,,,9.25,8.25,,,
14107,36005339,,7.75,,,,8.5,8.75,,5.6,N1
14108,37004213,7.4,,,7.0,7.5,,,,,
14109,37004214,8.0,,6.75,6.0,,,,,,
14110,37004215,,4.5,,,,5.75,6.25,,,
14111,37004216,9.4,,,8.75,9.0,,,,,
14112,37004217,7.8,5.75,,,,,,,6.6,N1
14113,37004218,7.2,,8.0,6.25,,,,,,
14114,37004220,,8.0,,,,9.25,9.0,6.25,,
14115,37004221,7.4,6.5,,,,7.25,6.25,8.75,3.4,N1
14116,37004222,7.8,,7.5,5.75,,,,,,
14117,37004223,,7.75,,,,9.5,9.25,,,
14118,37004224,8.2,,,4.75,6.5,,,,,
14119,37004225,2.8,6.0,,,,5.5,,,,
14120,37004226,,4.5,,,,6.75,7.25,7.5,,
14121,37004227,,6.0,,,,4.5,7.25,,,
14122,37004228,,5.75,,,,6.25,8.0,,,
14123,37004229,4.4,,,,3.5,,,,,
14124,37004230,8.0,,6.5,6.75,,,,,,
14125,37004231,,5.25,,,,5.5,7.0,,,
14126,37004233,,6.75,,,,7.0,5.75,,,
14127,37004234,,5.0,,,,4.75,7.75,,,
14128,37004235,7.6,3.0,,,,4.5,5.75,,,
14129,37004236,,8.5,,,,9.5,9.75,,,
14130,37004237,,7.0,,,,7.25,,,6.8,N1
14131,37004238,,8.0,,,,,,,7.6,N1
14132,37004239,6.0,6.25,,,,5.0,7.25,8.25,3.0,N1
14133,37004240,,8.25,,,,9.0,,,8.2,N1
14134,37004241,2.8,3.5,,,,4.25,4.25,,,
14135,37004242,,8.5,,,,8.75,9.25,,,
14136,37004243,,6.5,,,,6.75,8.5,,,
14137,37004244,,6.5,,,,10.0,10.0,,,
14138,37004245,,6.25,,,,7.75,8.75,,,
14139,37004246,8.4,,,8.75,,,,,6.4,N1
14140,37004248,,4.25,,,,2.75,6.0,,,
14141,37004249,,5.5,,,,8.25,9.25,8.5,,
14142,37004250,7.8,7.5,,,,8.5,9.5,,,
14143,37004251,7.2,7.75,,,,,,,6.4,N1
14144,37004252,7.8,,,,8.25,,,,5.4,N1
14145,37004253,8.4,,8.25,8.5,,,,,,
14146,37004256,,5.0,,,,7.0,7.75,,,
14147,37004258,8.0,,6.25,7.25,,,,,,
14148,37004259,7.2,,,6.25,6.75,,,,,
14149,37004260,4.6,5.75,,,,,,,,
14150,37004262,,5.5,,,,4.0,8.25,,,
14151,37004263,,6.75,,,,5.75,8.25,9.25,,
14152,37004264,,6.0,,,,8.25,9.25,9.25,,
14153,37004265,8.6,,5.5,,,,,,4.8,N1
14154,37004266,,5.0,,,,6.25,7.25,7.75,,
14155,37004267,,4.0,,,,6.5,8.25,,,
14156,37004268,6.6,6.75,5.75,,,,,,,
14157,37004269,7.4,,5.0,4.5,,,,,,
14158,37004272,,7.75,,,,8.25,9.5,7.75,,
14159,37004273,,5.5,,,,8.0,7.25,8.5,,
14160,37004274,7.4,,5.75,6.0,,,,,,
14161,37004275,6.8,,6.75,5.25,,,,,,
14162,37004276,6.0,4.5,,,,7.25,6.25,5.5,3.0,N1
14163,37004277,5.8,7.5,,,,,,,,
14164,37004278,,4.25,,,,7.0,5.5,,,
14165,37004279,,4.0,,,,4.25,7.5,,,
