STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
153,1018150,,5.0,,,,7.25,5.75,,,
154,1018151,7.8,,8.75,2.5,3.75,,,,6.0,N1
155,1018152,4.8,,3.0,3.0,,,,,,
156,1018153,3.6,6.0,,,,6.75,6.0,8.75,5.2,N1
157,1018154,,6.75,,,,7.75,8.25,,,
158,1018155,,8.5,,,,,,,7.2,N1
159,1018156,,8.0,,,,6.75,7.0,9.0,,
160,1018158,,8.0,,,,6.5,8.25,,,
161,1018159,7.4,8.0,,,,,,,4.0,N1
162,1018160,7.4,8.0,,5.75,,,,,,
163,1018162,8.0,,8.25,,,,,,7.4,N1
164,1018163,,7.25,,,,3.0,5.75,,,
165,1018165,,7.0,,,,3.25,7.5,,,
166,1018166,,7.75,,,,3.5,5.75,,,
167,1018167,3.4,6.25,,,,7.25,8.0,,,
168,1018168,6.2,,5.0,,,,,,7.0,N1
169,1018169,8.0,,5.5,,,,,,8.2,N1
170,1018170,8.0,,6.75,7.0,,,,,,
171,1018171,,7.25,,,,6.5,8.5,8.25,,
172,1018172,8.8,7.0,7.5,7.5,,,,,,
173,1018173,,6.75,,,,,,,,
174,1018174,,7.5,,,,5.75,7.0,,,
175,1018176,8.2,8.5,,,,6.5,8.0,,5.6,N1
176,1018177,,6.0,,,,6.25,7.0,7.5,,
177,1018178,8.2,8.75,,,,,,,8.2,N1
178,1018180,,9.25,,,,,,,,
179,1018181,8.4,9.25,,,,,,,8.6,N1
180,1018182,,6.75,,,,8.0,6.75,,,
181,1018183,7.0,8.75,,,,9.25,8.75,,,
182,1018184,,,,,,,,,8.4,N1
183,1018185,,8.5,,,,5.5,7.5,,,
184,1018186,,9.25,,,,9.0,8.75,,,
185,1018188,,8.0,,,,5.5,8.0,,,
186,1018189,8.2,9.25,,,,,,,6.6,N1
187,1018190,,6.5,,,,4.5,6.75,6.5,,
188,1018191,,8.75,,,,,,,,
189,1018192,3.2,7.75,,,,8.5,8.75,8.5,,
190,1018195,3.0,7.5,,,,8.75,9.25,9.5,,
191,1018196,,6.25,,,,3.75,3.25,,,
192,1018197,3.2,6.5,,,,7.0,6.25,7.75,5.2,N1
193,1018199,4.8,6.0,,,,8.25,6.0,8.25,6.4,N1
194,1018200,,5.75,,,,6.25,6.0,,,
195,1018201,7.8,9.5,,,,9.0,,,,
196,1018202,,9.5,,,,8.5,8.75,,6.4,N1
197,1018203,7.4,8.25,,,,,,,6.8,N1
198,1018204,7.8,8.5,,,,,,,5.6,N1
199,1018205,3.6,5.0,,,,4.0,6.0,7.0,1.8,N1
200,1018206,8.4,8.5,3.75,,,,,,7.0,N1
201,1018207,5.2,8.25,,,,4.5,3.0,6.25,5.6,N1
202,1018208,7.8,8.25,,,,,,,5.4,N1
203,1018209,,8.0,,,,,,,,
204,1018210,,7.25,,,,8.25,8.0,,,
205,1018211,6.6,8.25,,,,,,,4.6,N1
206,1018212,7.0,9.25,,,,10.0,8.75,8.5,5.6,N1
207,1018213,3.6,4.0,,,,3.25,5.25,,,
208,1018214,,9.5,,,,7.5,8.75,,,
209,1018215,8.6,,5.25,9.0,9.0,,,,6.8,N1
210,1018217,2.6,5.0,,,,4.75,4.0,,,
211,1018218,,6.5,,,,5.5,8.25,,,
212,1018219,8.2,7.0,8.75,7.25,5.0,,,,4.2,N1
213,1018220,8.8,,7.5,8.75,4.0,,,,,
214,1018221,,,,,,6.5,8.25,8.75,6.8,N1
215,1018222,8.0,7.5,6.25,3.0,3.0,,,,7.2,N1
216,1018223,,5.75,,,,4.0,5.25,7.75,,
217,1018224,,4.0,,,,7.5,8.5,8.75,,
218,1018225,,3.5,,,,2.5,2.75,,,
219,1018226,,4.25,,,,6.75,6.75,7.0,,
220,1018227,7.0,,5.25,7.0,,,,,,
221,1018228,,7.25,,,,5.0,6.25,7.5,,
222,1018229,,7.75,,,,5.0,7.25,7.0,,
223,1018230,7.0,6.25,,,,4.75,6.5,7.5,7.4,N1
224,1018231,,8.75,,,,8.5,9.25,,,
225,1018232,6.2,7.0,,,,,5.25,8.0,,
226,1018234,7.8,6.5,,,,,,,5.6,N1
227,1018235,,6.5,,,,7.0,7.0,8.25,,
228,1018236,,5.75,,,,7.0,8.0,,,
229,1018237,7.6,,6.5,,,,,,8.0,N1
230,1018238,5.4,7.0,,,,6.25,3.5,7.25,,
231,1018239,6.4,3.75,,,,,,,6.6,N1
232,1018240,8.2,7.25,,,,6.0,7.25,7.75,4.8,N1
233,1018241,,6.5,,,,4.75,6.25,,,
234,1018242,,8.0,,,,7.0,6.5,,,
235,1018243,,6.75,,,,7.0,8.0,,,
236,1018244,6.0,3.5,4.0,2.5,2.5,,,,,
237,1018245,7.8,,,6.75,7.0,,,,,
238,1018246,6.2,8.0,,,,,,,5.0,N1
239,1018247,5.6,6.25,,,,5.0,6.25,7.75,3.6,N1
240,1018248,,4.25,,,,5.25,7.25,,,
241,1018249,6.8,,5.0,,,,,,4.8,N1
242,1018250,,5.75,,,,6.0,4.0,,,
243,1018251,8.6,,8.25,,,,,,6.0,N1
244,1018252,,7.25,,,,7.25,7.0,,,
245,1018254,9.2,,9.75,,,,,,8.4,N1
246,1018255,,7.0,,,,7.0,7.0,8.0,,
247,1018256,7.8,,,4.5,7.5,,,,,
248,1018257,,9.0,,,,8.5,9.25,8.75,,
249,1018258,,6.25,,,,3.75,5.5,,,
250,1018259,8.8,,,9.0,9.25,,,,,
251,1018260,,5.0,,,,6.25,7.25,,,
252,1018261,7.4,7.75,,,,8.0,,,,
253,1018262,6.4,,3.5,2.5,4.0,,,,6.8,N1
254,1018263,,6.0,,,,5.5,6.0,,,
255,1018264,,7.75,,,,7.5,7.25,,,
256,1018265,,6.5,,,,5.5,7.0,8.5,,
257,1018266,3.4,3.75,,,,2.25,2.25,7.5,2.4,N1
258,1018267,,5.25,,,,6.0,6.25,,,
259,1018268,,7.0,,,,5.75,6.75,6.75,,
260,1018269,,8.25,,,,5.25,6.75,,,
261,1018270,,,,,,,,,2.6,N1
262,1018271,7.0,7.25,,,,,,,6.6,N1
263,1018272,,8.0,,,,6.25,7.5,,,
264,1018273,,2.25,,,,6.0,6.75,6.25,,
265,1018275,8.2,9.25,,,,,,,6.8,N1
266,1018276,8.6,9.5,,,,,,,7.8,N1
267,1018277,7.2,7.5,,,,,,,3.8,N1
268,1018278,9.2,9.5,,,,5.0,6.5,8.75,8.8,N1
269,1018279,7.8,8.25,,,,8.0,,,7.2,N1
270,1018280,6.8,8.75,,,,,,,8.0,N1
271,1018281,4.2,7.75,,,,4.25,1.75,,,
272,1018282,8.0,7.0,,,,6.5,6.5,9.25,,
273,1018284,,5.75,,,,4.25,6.25,6.75,,
274,1018285,8.6,,8.25,,,,,,8.6,N1
275,1018286,8.2,8.25,,,,,,,9.2,N1
276,1018287,,8.75,,,,9.5,9.5,,,
277,1018288,6.2,9.25,,,,,,,6.0,N1
